alu,commit_width,core,decode_width,fetch_width,fpu,issue_width,l1d_size,l1i_size,l2_size,mul,rename_width
1,2,1,2,2,1,2,8,8,128,1,2
1,2,1,2,2,1,2,8,8,128,1,4
1,2,1,2,2,1,2,8,8,128,3,2
1,2,1,2,2,1,2,8,8,128,3,4
1,2,1,2,2,1,2,8,8,256,1,2
1,2,1,2,2,1,2,8,8,256,1,4
1,2,1,2,2,1,2,8,8,256,3,2
1,2,1,2,2,1,2,8,8,256,3,4
1,2,1,2,2,1,2,8,8,512,1,2
1,2,1,2,2,1,2,8,8,512,1,4
1,2,1,2,2,1,2,8,8,512,3,2
1,2,1,2,2,1,2,8,8,512,3,4
1,2,1,2,2,1,2,8,8,1024,1,2
1,2,1,2,2,1,2,8,8,1024,1,4
1,2,1,2,2,1,2,8,8,1024,3,2
1,2,1,2,2,1,2,8,8,1024,3,4
1,2,1,2,2,1,2,8,16,128,1,2
1,2,1,2,2,1,2,8,16,128,1,4
1,2,1,2,2,1,2,8,16,128,3,2
1,2,1,2,2,1,2,8,16,128,3,4
1,2,1,2,2,1,2,8,16,256,1,2
1,2,1,2,2,1,2,8,16,256,1,4
1,2,1,2,2,1,2,8,16,256,3,2
1,2,1,2,2,1,2,8,16,256,3,4
1,2,1,2,2,1,2,8,16,512,1,2
1,2,1,2,2,1,2,8,16,512,1,4
1,2,1,2,2,1,2,8,16,512,3,2
1,2,1,2,2,1,2,8,16,512,3,4
1,2,1,2,2,1,2,8,16,1024,1,2
1,2,1,2,2,1,2,8,16,1024,1,4
1,2,1,2,2,1,2,8,16,1024,3,2
1,2,1,2,2,1,2,8,16,1024,3,4
1,2,1,2,2,1,2,8,32,128,1,2
1,2,1,2,2,1,2,8,32,128,1,4
1,2,1,2,2,1,2,8,32,128,3,2
1,2,1,2,2,1,2,8,32,128,3,4
1,2,1,2,2,1,2,8,32,256,1,2
1,2,1,2,2,1,2,8,32,256,1,4
1,2,1,2,2,1,2,8,32,256,3,2
1,2,1,2,2,1,2,8,32,256,3,4
1,2,1,2,2,1,2,8,32,512,1,2
1,2,1,2,2,1,2,8,32,512,1,4
1,2,1,2,2,1,2,8,32,512,3,2
1,2,1,2,2,1,2,8,32,512,3,4
1,2,1,2,2,1,2,8,32,1024,1,2
1,2,1,2,2,1,2,8,32,1024,1,4
1,2,1,2,2,1,2,8,32,1024,3,2
1,2,1,2,2,1,2,8,32,1024,3,4
1,2,1,2,2,1,2,8,64,128,1,2
1,2,1,2,2,1,2,8,64,128,1,4
1,2,1,2,2,1,2,8,64,128,3,2
1,2,1,2,2,1,2,8,64,128,3,4
1,2,1,2,2,1,2,8,64,256,1,2
1,2,1,2,2,1,2,8,64,256,1,4
1,2,1,2,2,1,2,8,64,256,3,2
1,2,1,2,2,1,2,8,64,256,3,4
1,2,1,2,2,1,2,8,64,512,1,2
1,2,1,2,2,1,2,8,64,512,1,4
1,2,1,2,2,1,2,8,64,512,3,2
1,2,1,2,2,1,2,8,64,512,3,4
1,2,1,2,2,1,2,8,64,1024,1,2
1,2,1,2,2,1,2,8,64,1024,1,4
1,2,1,2,2,1,2,8,64,1024,3,2
1,2,1,2,2,1,2,8,64,1024,3,4
1,2,1,2,2,1,2,16,8,128,1,2
1,2,1,2,2,1,2,16,8,128,1,4
1,2,1,2,2,1,2,16,8,128,3,2
1,2,1,2,2,1,2,16,8,128,3,4
1,2,1,2,2,1,2,16,8,256,1,2
1,2,1,2,2,1,2,16,8,256,1,4
1,2,1,2,2,1,2,16,8,256,3,2
1,2,1,2,2,1,2,16,8,256,3,4
1,2,1,2,2,1,2,16,8,512,1,2
1,2,1,2,2,1,2,16,8,512,1,4
1,2,1,2,2,1,2,16,8,512,3,2
1,2,1,2,2,1,2,16,8,512,3,4
1,2,1,2,2,1,2,16,8,1024,1,2
1,2,1,2,2,1,2,16,8,1024,1,4
1,2,1,2,2,1,2,16,8,1024,3,2
1,2,1,2,2,1,2,16,8,1024,3,4
1,2,1,2,2,1,2,16,16,128,1,2
1,2,1,2,2,1,2,16,16,128,1,4
1,2,1,2,2,1,2,16,16,128,3,2
1,2,1,2,2,1,2,16,16,128,3,4
1,2,1,2,2,1,2,16,16,256,1,2
1,2,1,2,2,1,2,16,16,256,1,4
1,2,1,2,2,1,2,16,16,256,3,2
1,2,1,2,2,1,2,16,16,256,3,4
1,2,1,2,2,1,2,16,16,512,1,2
1,2,1,2,2,1,2,16,16,512,1,4
1,2,1,2,2,1,2,16,16,512,3,2
