n,hit,dist,nabla,sigma,hv
1011,47,6107.00715986,124444037.707,1260903.89129,92550935.6801
2074,93,304.344088115,154853386.422,971185.038485,92720358.0447
2020,89,924.375537279,154843519.455,977474.959044,92708011.8452
1897,83,820.645016883,154843519.455,1016303.52439,92652351.0666
2171,95,210.354565148,154853386.422,965077.050574,92715012.8582
2079,91,101.770786648,125768705.628,992581.106141,92723958.6591
2145,93,409.580646927,143496771.37,978558.605206,92720393.4191
2101,80,1972.67542374,125768705.628,1022653.40607,92677460.7655
1855,90,977.510711229,154853386.422,968070.774082,92667752.8616
1919,83,1479.91403348,146760851.487,1003653.37155,92637888.4962
1982,90,26.1489845223,125754344.977,1002467.48569,92720853.0684
1968,89,933.451971621,154833482.229,978476.234643,92666725.7872
2104,91,514.549236124,125768705.628,979599.249221,92699224.7337
1840,90,271.773542863,154853386.422,999180.34917,92718468.6497
2138,91,88.371621665,154853386.422,993668.978608,92721857.0212
2110,87,1007.1928543,125768705.628,991548.82342,92621979.4427
1940,91,658.954373022,154853386.422,983828.490471,92664400.5814
1951,83,746.123229477,154853386.422,1026813.63533,92653964.1309
2050,93,131.253830115,154843519.455,979563.045578,92722761.1965
2027,85,873.838663259,154853386.422,1005747.21804,92662770.0568
1785,87,536.435080358,123236332.548,1008360.37671,92685058.3871
2192,92,91.4351664748,154853386.422,981726.07182,92724865.6512
1962,81,1099.48372623,154853386.422,1017301.16121,92650396.4401
2083,93,617.098103491,125768705.628,967141.614134,92688023.3196
1786,87,795.400459043,154853386.422,1003605.36392,92652621.6328
1917,89,534.630385776,154853386.422,997222.173402,92666269.6715
1836,94,221.207266681,154853386.422,968097.520409,92721043.9458
1798,86,1004.45012076,154853386.422,993667.244954,92675421.9447
2076,89,456.322940257,154853386.422,996038.923247,92708500.5685
1970,92,537.537640018,125768705.628,978623.422291,92648859.0957
848,32,10942.6008247,138686358.665,1418867.24505,92322785.7633
1932,83,729.383726092,154853386.422,1017449.36244,92666800.4525
2152,94,254.703463457,154853386.422,974318.882555,92723382.6096
2008,93,302.373650361,154853386.422,973385.322794,92721074.3223
2344,85,754.020341562,125768705.628,1001573.55738,92672569.0852
2051,86,714.780571185,154853386.422,995922.852373,92661789.1835
1867,91,3.20627802871,154853386.422,999400.037617,92717380.7967
1857,80,1702.85588693,154853386.422,1001434.14698,92612884.828
1989,91,409.35937509,154853386.422,989263.528983,92690775.5104
1657,83,845.313231937,154853386.422,1016280.61436,92649563.2835
1970,91,258.275555791,143496771.37,987109.0991,92720185.1942
1945,86,1068.06684111,125768705.628,995882.995706,92666411.3552
2028,88,778.647987078,125768705.628,999095.546984,92653383.2168
1895,91,403.387029454,154853386.422,990560.570533,92685785.0939
1757,78,998.693781965,154843519.455,1023847.75012,92692106.8382
1808,83,858.717652105,154853386.422,1023307.6499,92653690.213
1878,86,816.679550627,154853386.422,1005901.36308,92666561.1221
1857,93,99.7533040929,125768705.628,982769.710643,92721027.891
2057,93,121.618736967,125768705.628,977508.702497,92722325.124
1983,85,572.379634574,154853386.422,1015082.43168,92626741.8749
1909,87,699.656115134,154853386.422,1003650.44434,92682975.1542
1109,57,2921.23055403,145398844.894,1153200.34993,92539640.3469
2014,96,87.8443497213,154853386.422,967052.41199,92723712.2604
2035,86,898.157309208,154843519.455,1000306.83605,92625479.1005
1874,87,428.809195568,125768705.628,1004028.11524,92700368.7577
2007,84,1371.42371959,125768705.628,999529.441077,92598490.1795
1837,88,1310.49681092,154853386.422,976670.279015,92653571.5568
2050,93,313.554824694,154843519.455,980616.404224,92705999.7457
2133,87,1336.34969016,154843519.455,988137.040659,92689053.9881
1635,76,1180.94265159,154853386.422,1057825.0433,92553612.8121
2114,94,161.944325769,154853386.422,969186.14523,92724088.865
950,39,5327.118356,133733095.706,1341306.1906,92131018.3652
2012,92,163.143192821,133752119.363,982941.992554,92720572.2837
1918,86,266.886836474,154853386.422,1006313.9966,92722988.8692
1948,87,261.30045928,125768705.628,1002964.70626,92716777.8321
1969,87,781.409526046,125768705.628,996425.816555,92679250.8561
1944,82,863.979075065,154853386.422,1017369.39554,92655072.7218
2119,88,735.207964899,154853386.422,984914.899108,92708634.5834
2001,89,414.371682786,133733095.706,984953.895847,92706866.0179
1845,86,815.160639067,125768705.628,1003484.75677,92651474.806
2106,92,198.247271905,154853386.422,988994.989243,92715932.5953
1981,86,771.289294472,154853386.422,1009078.07084,92664623.883
2055,85,782.777527898,154853386.422,1010279.52311,92667709.4357
1157,54,3059.01911702,125752472.28,1193735.85482,92588908.1826
2338,88,371.889645841,154843519.455,1001220.60675,92693659.4073
1193,48,2968.7993285,146760851.487,1228156.74641,92583040.1923
1913,89,469.319290623,154853386.422,993503.52562,92707264.1528
1952,91,779.279070245,154853386.422,970383.049669,92712238.772
2138,90,320.750552081,154853386.422,983910.766293,92721100.5085
2342,83,1131.41974919,143496771.37,1002897.03348,92680475.3759
681,28,4787.13922042,124600928.647,1541871.67787,92401540.3197
1931,89,1178.4567327,154843519.455,981897.768784,92665123.265
1897,92,248.404815606,154843519.455,979547.030128,92719858.881
1951,89,713.268564333,154853386.422,978692.489076,92689763.8596
1882,93,170.320347291,154853386.422,974323.88309,92718630.4195
1552,65,3398.93866996,154853386.422,1090868.29389,92631652.049
2020,90,184.993275331,154853386.422,992897.889666,92719572.7121
1880,84,733.002346915,154853386.422,1014438.73341,92652952.1553
1992,89,352.352175381,154853386.422,994914.901697,92696189.2586
2196,90,1128.01708514,154853386.422,967186.147606,92666144.8306
2038,90,1541.65096674,154853386.422,969254.508446,92707898.7228
2056,90,266.594172207,154853386.422,991552.25677,92722553.3496
1635,77,1188.94007633,125752472.28,1033161.82776,92569345.277
1921,81,1246.29717562,154853386.422,1024491.29333,92609580.919
2074,78,989.436590871,125768705.628,1047124.11309,92637364.2705
2074,92,497.015255362,154853386.422,984831.993747,92691178.6968
1927,90,1165.27041489,154853386.422,970136.870033,92641488.1995
2140,92,254.847682123,154843519.455,991330.636922,92715122.1356
1981,86,579.76712348,154853386.422,1008131.18423,92698733.6738
2055,87,873.18625807,154853386.422,993497.117692,92673752.5599
