n,error,dist,nabla,sigma,hv
632,20,25360.6796197,38650440.0536,283627.523205,49841757.2141
573,29,8929.97790376,39783654.6353,216605.526208,50514332.8884
613,26,7825.98825797,54571055.9772,232864.735113,50917293.8575
600,25,16560.908605,39959595.9743,248641.443492,49343040.5531
645,35,13313.4425704,50013213.8335,245911.310816,50159661.2571
642,16,30377.3793129,49479512.7286,289327.733916,49812115.2314
660,22,13107.642103,51523112.2667,356774.181155,49928656.1722
663,30,26937.4419679,56950095.6197,235565.702989,50617668.2038
625,34,12495.3392876,38748311.4175,247408.362466,50540597.9939
613,21,23096.7586412,39311254.9819,264599.595036,49251654.528
568,31,6104.91081252,50511896.3078,239193.992404,50449874.5328
613,27,16263.8125089,54394905.0809,318566.543878,49514362.3564
681,33,9947.26606074,47152679.5752,232152.998325,50648742.9875
507,25,7985.85413268,43750973.4564,253304.19908,50894423.1235
680,28,18600.5611075,45698546.5241,268280.072486,49840182.5889
650,34,17653.4139358,47867776.6896,209656.312235,50249591.2292
591,29,25792.7317124,48495680.1323,320149.731595,50405200.977
648,26,36831.4313738,46549001.687,293040.24944,49680575.4857
518,30,4826.25415051,41559367.7042,249756.273274,50702887.8442
528,21,7274.87979877,44727624.4196,241441.981076,50091360.0687
601,31,10647.7772055,51523112.2667,246182.3125,50345206.4191
648,25,13745.1413654,42004687.6214,253454.965486,50786681.9206
653,32,18813.1273591,42745572.8686,257001.934086,50189104.7854
595,19,21155.7638986,41384546.6863,292335.245562,49382381.3046
607,30,16400.9227086,39314546.3208,288909.084202,49997558.984
587,20,35907.3193759,39687165.3343,313961.779246,49527995.1521
593,33,6359.20388535,42085382.5194,224622.416395,50956962.0416
559,34,7808.93299218,41485461.9226,235601.469168,50420785.9423
614,32,11907.1479776,41447927.7411,244619.040811,50640111.3982
671,28,9744.74479323,40843295.3789,233127.813762,50925265.3962
630,28,36174.3302778,46683908.4054,236163.102152,50190035.2028
648,33,11036.1457308,49243551.9843,249513.569594,50681181.226
552,19,56956.4658417,52458310.1477,444299.891784,50023347.3332
707,29,10746.8944805,39311254.9819,240655.308181,49768275.0423
624,32,8715.87629054,41384546.6863,262478.51031,50777038.765
609,31,33171.7193447,41921956.8271,240140.596631,50486774.9936
560,21,34039.2067099,45207764.8484,260835.216103,50769875.7071
332,11,17303.9553834,49479512.7286,468782.1649,49247916.5669
603,22,62268.2623001,49651018.3152,298560.264609,50673890.1448
550,28,25038.1106018,38730331.7243,274001.806012,49975225.0232
677,39,7634.03620145,38775962.7514,263485.021924,50621383.4144
682,24,13821.3536588,39846345.3732,276646.417381,50850075.9019
422,18,12768.9328892,49563207.1103,371151.945588,50014738.6055
650,25,16814.9690889,49479512.7286,264247.210268,49643679.9804
646,28,11235.2524294,51479399.2818,237387.432674,50388416.2176
643,24,50759.309542,58628892.8556,339192.658642,48975408.0699
633,27,15667.1538482,45986949.9267,218971.052169,50615663.4896
252,7,33385.6818224,42980945.6898,546631.001608,49056093.9379
548,23,15227.3315091,54185565.9093,242229.990026,49654943.0826
594,31,6351.66834348,43112425.1031,233523.066303,50944361.9091
602,28,11621.3263181,39846345.3732,258037.080429,50783857.0879
324,3,20988.7281193,48670757.9933,440712.69666,48315753.2777
682,27,8082.3809549,36386944.2896,249685.145033,50279701.1389
573,18,30537.3535931,40852375.1949,312542.276768,49638836.7642
581,30,13944.0000029,44253317.9218,313271.447292,49341967.8083
551,23,13813.9226193,42699626.7082,264299.905505,50852129.6186
638,29,19618.52175,43662130.1009,272141.592141,49515955.7558
562,29,38155.0315825,50829108.3831,356078.392171,49001103.3567
575,20,46061.8596507,40969201.0764,266020.952997,50365949.5862
666,30,16696.7235046,46116858.0652,234043.311702,49942195.2309
648,32,19904.199195,49479512.7286,253836.219835,49851999.1587
648,36,3843.93684611,39820393.8234,257369.322867,50408787.0514
648,32,15911.5545466,45077558.7441,223980.333574,50818722.9179
595,26,14769.8263177,41578561.157,330877.890621,49760308.8277
603,24,51530.9841347,56881449.1458,339742.407924,49089894.05
548,20,26900.0840786,45986949.9267,237754.81108,49349938.5786
672,40,5364.18487518,46116858.0652,218347.246776,50899369.013
519,20,18039.4324368,43686762.077,274028.466758,50002253.5102
635,34,5271.72222427,41062758.1399,221831.740267,50985953.824
697,30,17150.7820561,54138002.4273,294407.100369,49659200.6657
595,26,13414.289624,49416982.7097,305922.427494,49622485.6049
631,31,14982.7874454,41849766.0183,290185.16409,49698424.3387
628,32,7811.9521602,40016223.7996,330292.092764,49802875.4545
627,23,28360.3856541,40249573.4839,264035.058195,49983381.789
612,24,13317.521745,45990030.2046,255429.79616,50640789.9029
645,30,7239.7972378,38679387.6361,226789.97842,50957192.04
512,18,34058.6842134,50707387.0514,329257.097906,49739105.3305
615,25,14999.3467434,42031257.1927,340667.133967,48878163.8133
592,37,6208.04186253,50490980.6334,218836.683233,51044156.4203
543,30,40296.5200006,49223207.8599,269957.820222,50857316.5965
627,31,39377.3896729,48512592.2537,296815.421097,49604236.2686
582,31,6500.51021094,35912711.4644,228571.278898,50699539.5422
488,13,28882.6187759,57332721.6887,257287.491614,50717518.9482
584,19,20638.9913454,41289537.3239,265507.057605,49618812.2622
489,21,5793.37956423,54247090.4744,305910.582471,50314883.1387
662,24,21355.0731728,41869139.83,232947.665786,49663180.4836
618,29,28739.347439,48994172.6479,290260.150582,49814830.952
630,30,15395.4711142,39314546.3208,311519.578913,49674282.1257
728,23,8466.9885729,38787141.0292,263962.276427,50658205.8902
726,24,22244.1643406,44414753.1627,257067.795162,49767097.9564
593,28,5438.95082456,39829538.6486,251574.274946,50864334.2037
570,27,6444.6768303,35307388.5675,261896.958239,50697224.8523
555,16,17939.4567122,39613780.1969,367214.220931,49338746.8864
666,30,17361.643727,47981170.879,225236.127645,49919314.4091
502,10,35032.8152973,37067046.5638,277263.911708,48966224.2646
627,27,29435.3823552,45580581.7396,290008.399893,50518148.0842
572,12,45708.9629713,54725775.1345,388029.070069,49529985.5473
599,25,31801.5649749,41921956.8271,276776.698103,49773076.5254
641,20,26148.8932112,46097604.2184,282369.378838,49862597.3596
654,17,25223.7608859,44274353.2788,301078.691363,49891189.3149
