n,hit,dist,nabla,sigma,hv
1884,83,3396.70914166,50511896.3078,167970.011598,51115505.2955
1886,88,205.934959444,49479512.7286,149217.853691,51215154.0534
1672,82,4139.91011256,46006068.2692,173698.084739,51115176.2752
1958,90,467.067750954,44742214.3824,164447.523546,51189047.4951
1847,78,13614.6743009,42031257.1927,179982.539344,50697297.4985
1467,71,2924.9203655,54571055.9772,155701.227294,51110462.763
1560,90,251.604838801,46116858.0652,163977.139585,51204699.2431
1916,91,508.857526901,46494719.8523,166723.094025,51205333.7179
2230,92,186.735602867,48330790.1249,145800.163697,51220444.1624
1054,52,13409.8321683,49459095.7293,190158.948979,50324995.4285
1987,85,560.901685646,42031257.1927,170198.138808,51181964.5811
2045,91,632.656168863,50511896.3078,161850.603177,51215337.2092
1935,92,91.4160000049,39331499.6851,163488.931701,51210592.1987
1609,80,595.253776716,49479512.7286,163637.231207,51068995.6297
1033,65,2878.05842001,42002533.6276,193713.401159,51019660.0157
2057,93,303.348285022,51523112.2667,162237.153892,51218319.8147
2052,89,309.726287746,48330790.1249,166217.407883,51215033.8698
1540,76,2281.95714346,51523112.2667,169226.310049,51152196.6487
2198,91,196.909333696,50511896.3078,163014.512578,51192914.6233
2021,82,988.275571309,50511896.3078,155613.950486,50764311.8831
1276,76,1150.19698135,54593674.5195,175377.59377,51200143.6786
1445,65,18375.9460168,54200838.0344,202601.532489,50145019.6188
1878,88,180.988950286,49479512.7286,152512.321886,51190919.2384
1981,92,459.710526629,50511896.3078,161905.587848,51208777.4304
2088,91,244.83870988,44742214.3824,163104.283695,51215903.9767
2101,88,236.92837537,42031257.1927,165745.986251,51203235.5511
1055,62,3712.01393769,41859563.1927,210731.115944,50828791.6806
1803,87,1255.67979048,51523112.2667,164030.407524,51176576.8725
2072,79,1508.04285752,54247090.4744,153003.662061,51127233.162
1840,92,52.459459502,51523112.2667,164035.422489,51226006.747
736,26,28127.3827194,49479512.7286,255232.137948,49947978.0254
1606,86,1984.638889,49479512.7286,168789.420808,51141419.7883
1858,84,444.430167852,49479512.7286,168096.508277,51208182.0549
1353,78,908.411242678,49479512.7286,170933.944303,51208311.766
1636,86,194.044693852,49479512.7286,167059.953644,51215456.2245
1473,77,17012.2009903,54593674.5195,166261.516564,50459639.8985
1791,87,1081.92370587,49479512.7286,150464.698899,51159729.0093
2144,84,769.465517271,49468056.8723,162940.216591,51096052.8535
1994,91,269.050675486,43130412.3272,164201.596219,51213489.7716
